SMILES,Core_type,SAscore,PC1,PC2
COc1cc(Cl)cc(I)c1,0,2.1549155205216675,6.131728,18.743603
Cc1ccc(Br)cc1I,0,2.0186914687640183,6.7334676,18.134764
Fc1cc(Br)ccc1Cl,0,1.6587030072255562,7.301608,18.25886
COc1c(F)c(Cl)c(Br)c(C#N)c1Cl,0,3.1346575087690614,3.9251485,19.165209
Cc1c(Br)cc(C#N)cc1-c1cccs1,0,2.457261690232489,2.2312546,-2.648963
COc1cc(C)c(C)cc1C#N,0,1.9416204075616843,4.798444,19.285795
COc1cc(-c2cccs2)ccc1F,0,1.7963102010767535,2.298546,-1.8948658
Fc1ccc(I)c(I)c1,0,2.4547356995332485,6.974674,18.298904
N#Cc1c(F)c(Br)c(F)c(Cl)c1I,0,3.328351638120714,3.8057597,19.613794
COc1c(C#N)cccc1-c1cccs1,0,2.187749218982809,2.7941275,-2.7467415
N#Cc1c(Br)c(Br)c(I)c(-c2cccs2)c1Br,0,3.2581187557536,2.7546222,-3.6653311
N#Cc1ccc(Cl)cc1Br,0,2.1196898794960277,4.991805,20.616446
Cc1cc(Br)ccc1F,0,1.6077953149178636,7.2127676,18.27338
Cc1ccc(C#N)c(Cl)c1C,0,2.1239785856340987,4.914502,20.36898
COc1cc(OC)c(C)c(OC)c1,0,1.6623412884703654,5.8403955,18.601576
Cc1cc(F)c(Cl)cc1C,0,1.7311320885690051,7.30408,18.368418
Cc1ccc(Br)cc1,0,1.2026789596855476,6.8939533,18.545069
COc1c(C#N)cc(F)cc1C#N,0,2.483564585173662,4.7378206,19.422918
COc1c(F)c(-c2cccs2)c(OC)c(I)c1C#N,0,2.869366103287831,3.3442824,-3.4504805
Brc1cc(I)cc(I)c1,0,2.873420314917864,6.856466,18.757189
Fc1ccc(Cl)cc1-c1cccs1,0,1.8152484818175587,1.8808956,-1.0040351
COc1c(C)c(Cl)c(F)c(C)c1C#N,0,2.9304036626152143,3.9873984,19.182842
N#Cc1ccccc1C#N,0,2.012978157884305,5.241608,20.223053
COc1c(I)cc(C)c(Cl)c1C#N,0,2.7539655418640283,4.1217084,19.287638
COc1ccc(Cl)c(I)c1C,0,2.284651264679193,5.724104,17.47015
Cc1cc(-c2cccs2)c(-c2cccs2)cc1Cl,0,2.25405980469014,2.1814961,-1.0110996
COc1ccc(Br)cc1OC,0,1.4033757209126136,5.783719,18.040125
COc1c(F)cccc1Cl,0,1.7437719307780777,6.211835,17.025682
COc1c(Cl)ccc(C#N)c1-c1cccs1,0,2.351185398425254,3.082352,-3.0145051
N#Cc1cccc(-c2cccs2)c1I,0,2.4428840472305997,2.2816286,-2.7899485
Cc1cc(I)cc(I)c1Cl,0,2.817352206912201,6.840487,18.490269
Fc1ccc(-c2cccs2)c(Br)c1I,0,2.601518455514624,1.9453316,-0.9138757
N#Cc1cc(-c2cccs2)c(Br)cc1F,0,2.412538613309412,2.3864617,-2.828601
COc1cc(C)c(I)c(I)c1,0,2.468060283246832,6.109725,18.715008
Cc1cc(Cl)ccc1C#N,0,1.86959757180372,4.922965,20.464203
Cc1cc(C)c(-c2cccs2)c(-c2cccs2)c1,0,2.2204376153410283,2.217932,-0.95797217
Cc1ccc(F)c(I)c1-c1cccs1,0,2.427447449597464,2.1731021,-0.35902357
Clc1cc(I)c(-c2cccs2)cc1-c1cccs1,0,2.485210692264104,1.9859421,-1.0338871
COc1c(Cl)c(I)c(-c2cccs2)c(Br)c1C#N,0,3.09034195660416,3.0609365,-3.6151137
Cc1cc(I)c(F)c(C#N)c1,0,2.7632984795333044,4.7710104,20.004107
Fc1cc(Cl)c(-c2cccs2)cc1Br,0,2.185473485100422,1.8311044,-0.9648012
Cc1c(-c2cccs2)cc(C#N)c(F)c1I,0,2.9101698040196613,2.5589545,-2.8834376
Cc1c(Br)c(-c2cccs2)c(-c2cccs2)c(Br)c1C#N,0,2.9138157195195227,2.8228915,-3.6428123
Cc1ccc(F)c(C#N)c1Cl,0,2.3463955617614207,4.9480486,20.139269
Cc1cc(Br)c(-c2cccs2)c(C)c1I,0,2.691844563456824,2.0557635,-0.33629307
COc1c(C)c(Cl)c(C)c(-c2cccs2)c1Cl,0,2.6220535383622963,3.1383514,-0.55425316
N#Cc1ccc(Cl)c(I)c1,0,2.2739873153934624,6.121295,19.967245
Brc1cccc(Br)c1Br,0,2.19343569953325,7.1529408,17.394999
Fc1ccccc1Br,0,1.4628859526925415,7.1675134,17.509693
COc1c(Cl)c(F)c(Cl)c(Br)c1C#N,0,3.1047267395382923,3.9284582,19.163034
COc1cc(Br)c(OC)c(F)c1Br,0,2.431623007927378,5.3545294,17.382116
COc1cc(Cl)c(C)c(I)c1,0,2.3071059065890065,6.037609,18.586319
Cc1cccc(-c2cccs2)c1,0,1.6203802427265188,1.4715164,-1.7868481
Cc1cc(F)ccc1Br,0,1.6187222379947883,7.2292075,18.466433
COc1ccc(-c2cccs2)c(I)c1C,0,2.3611232286940265,2.8808951,-1.415428
Fc1ccccc1,0,1.0,7.1861453,18.498287
Cc1cc(-c2cccs2)c(-c2cccs2)cc1C#N,0,2.455120551916126,2.4670186,-2.8322654
Cc1c(F)c(I)c(-c2cccs2)c(C#N)c1Cl,0,3.0345124012385494,2.8239481,-3.8501341
N#Cc1ccc(I)c(-c2cccs2)c1,0,2.3743975087690607,2.0719452,-2.7471793
