SMILES,Core_type,SAscore
Cc1ccc(C)cc1,2取代苯,1.0
Fc1cccc(Cl)c1,2取代苯,1.3521481904547805
Brc1ccc(-c2ccccc2)cc1,2取代苯,1.1932219362436438
COc1ccccc1O,2取代苯,1.3187972379947865
Cc1ccc(Cl)cc1,2取代苯,1.033862875769465
COc1ccccc1I,2取代苯,1.6185166226101728
c1ccc(-c2cccc(-c3cccs3)c2)cc1,2取代苯,1.5563389800306027
Oc1cccc(F)c1,2取代苯,1.593146791853382
Fc1ccc(I)cc1,2取代苯,1.599497141503731
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,2取代苯,1.0
Brc1ccc(-c2cccs2)cc1,2取代苯,1.6488598031660793
Cc1cccc(-c2ccccc2)c1,2取代苯,1.1592551346242104
N#Cc1ccccc1-c1cccs1,2取代苯,1.9197733532476917
Brc1ccccc1Br,2取代苯,1.6926565820631723
Oc1ccccc1O,2取代苯,1.5031908477974376
COc1cccc(-c2cccs2)c1,2取代苯,1.6032174828023482
Cc1ccc(-c2ccccc2)cc1,2取代苯,1.0697798309804867
N#Cc1ccc(F)cc1,2取代苯,1.518962776456327
Fc1ccc(-c2cccs2)cc1,2取代苯,1.5529613416276185
COc1cccc(OC)c1,2取代苯,1.1727984875546351
Ic1ccc(-c2cccs2)cc1,2取代苯,1.8601639789902542
Clc1ccc(Br)cc1,2取代苯,1.2470810575876463
Oc1cccc(-c2cccs2)c1,2取代苯,1.7927569460232213
Clc1cccc(Br)c1,2取代苯,1.5213859526925404
Clc1ccc(-c2cccs2)cc1,2取代苯,1.5427468361331123
Oc1ccc(-c2ccccc2)cc1,2取代苯,1.2253559443408104
Fc1ccccc1-c1ccccc1,2取代苯,1.1818243653934424
Cc1cccc(C)c1,2取代苯,1.1380803582869472
Brc1cccc(-c2cccs2)c1,2取代苯,1.7521244185506948
Fc1ccc(F)cc1,2取代苯,1.1107656729722617
Brc1ccccc1-c1cccs1,2取代苯,1.780568374594651
COc1ccc(I)cc1,2取代苯,1.4934304687640179
Clc1ccccc1Cl,2取代苯,1.1284887498953378
Oc1ccc(-c2cccs2)cc1,2取代苯,1.683748154814431
N#Cc1ccc(O)cc1,2取代苯,1.702064314917866
Cc1ccc(F)cc1,2取代苯,1.0501132254198158
Fc1cccc(-c2ccccc2)c1,2取代苯,1.2037814504136843
Oc1ccccc1-c1ccccc1,2取代苯,1.3148931913043747
N#Cc1ccccc1-c1ccccc1,2取代苯,1.457939497512026
Cc1ccccc1-c1ccccc1,2取代苯,1.1518802358387852
Cc1cccc(F)c1,2取代苯,1.3368041345107233
Fc1ccc(-c2ccccc2)cc1,2取代苯,1.1048944058792731
Oc1cccc(Cl)c1,2取代苯,1.5670593792659702
Clc1ccccc1I,2取代苯,1.8464621764687656
Cc1cccc(O)c1,2取代苯,1.4995530855596755
Clc1ccccc1-c1ccccc1,2取代苯,1.1882591832072062
N#Cc1cccc(C#N)c1,2取代苯,1.9675874985436455
Fc1ccccc1-c1cccs1,2取代苯,1.630305957012233
Fc1ccccc1I,2取代苯,1.8720146240212134
Cc1ccccc1-c1cccs1,2取代苯,1.6165863965726732
COc1ccccc1F,2取代苯,1.2041510841486325
Cc1ccccc1I,2取代苯,1.6859852533918431
Cc1cccc(Br)c1,2取代苯,1.473717421224011
COc1ccccc1OC,2取代苯,1.0698671688733157
Fc1ccc(Cl)cc1,2取代苯,1.0945153233219127
c1cc(-c2cccs2)cc(-c2cccs2)c1,2取代苯,1.902303283040638
N#Cc1ccccc1Cl,2取代苯,1.6609190841486345
Fc1ccccc1F,2取代苯,1.1952146240212116
Cc1ccccc1O,2取代苯,1.405027910734498
Ic1ccccc1-c1cccs1,2取代苯,1.953625517451794
COc1cccc(O)c1,2取代苯,1.432291391840943
Cc1cccc(-c2cccs2)c1,2取代苯,1.6203802427265188
Clc1ccc(Cl)cc1,2取代苯,1.0782649736715637
Cc1ccc(O)cc1,2取代苯,1.2581831554897462
Fc1ccccc1Br,2取代苯,1.4628859526925417
Fc1ccccc1Cl,2取代苯,1.2570754631820513
COc1ccccc1Cl,2取代苯,1.1761652379947876
COc1ccc(C#N)cc1,2取代苯,1.4383627732689206
Oc1ccc(F)cc1,2取代苯,1.3188356030421922
Oc1ccccc1I,2取代苯,1.9389607778673668
N#Cc1cccc(Cl)c1-c1cccs1,3取代苯,2.1762971241536775
COc1ccc(C#N)cc1OC,3取代苯,1.5915849180511952
COc1cccc(-c2cccs2)c1Br,3取代苯,2.0307428933844456
Brc1cccc(I)c1-c1cccs1,3取代苯,2.3397258206948965
Fc1cccc(-c2cccs2)c1Cl,3取代苯,1.9943728061418824
COc1cc(Cl)cc(I)c1,3取代苯,2.1549155205216675
Cc1cc(-c2cccs2)ccc1-c1ccccc1,3取代苯,1.678089446311219
COc1cc(C)ccc1-c1cccs1,3取代苯,1.747883277999831
Cc1cccc(Cl)c1C,3取代苯,1.5022010841486324
N#Cc1cc(Br)cc(I)c1,3取代苯,2.6943873153934614
N#Cc1c(Br)cccc1-c1ccccc1,3取代苯,1.868869075870105
Brc1cc(-c2cccs2)cc(-c2cccs2)c1,3取代苯,2.1739478126097858
Fc1ccc(Cl)cc1Br,3取代苯,1.6696241610717113
N#Cc1c(-c2cccs2)cccc1-c1cccs1,3取代苯,2.334734148778562
Cc1ccc(C#N)c(C#N)c1,3取代苯,2.150514182451076
Cc1cccc(F)c1O,3取代苯,1.7960972379947862
COc1cccc(O)c1-c1cccs1,3取代苯,1.9677844318459847
Fc1cccc(-c2cccs2)c1-c1cccs1,3取代苯,2.14348350491748
Oc1cccc(F)c1-c1cccs1,3取代苯,2.0325432843123608
Fc1cc(Cl)cc(Br)c1,3取代苯,2.0231914687640185
Cc1cc(O)cc(I)c1,3取代苯,2.5026318533794036
N#Cc1ccc(-c2ccccc2)c(-c2ccccc2)c1,3取代苯,1.604848520293654
Oc1cccc(Cl)c1-c1ccccc1,3取代苯,1.598244431845984
Oc1cccc(-c2ccccc2)c1F,3取代苯,1.646529431845984
COc1c(-c2cccs2)cccc1-c1cccs1,3取代苯,2.1014551937713044
Cc1cc(C)cc(Br)c1,3取代苯,1.8517068533794045
Brc1cccc(-c2ccccc2)c1Br,3取代苯,1.7324205856921377
COc1ccc(-c2ccccc2)c(C)c1,3取代苯,1.3339245320418431
Cc1c(O)cccc1F,3取代苯,1.8905568533794028
Oc1cc(Cl)ccc1-c1ccccc1,3取代苯,1.515866739538291
COc1cccc(F)c1F,3取代苯,1.5801206487267958
Cc1cccc(C#N)c1I,3取代苯,2.3635821871883334
Cc1cc(F)cc(F)c1,3取代苯,1.8072376226101703
Fc1ccc(F)c(Br)c1,3取代苯,1.6766106995332493
